"","exp_num","treat","per","grp","gr_id","sumputin","ingrnum","maxgr","subj_in_session","subj_id","tokens","putin","totallost","other1","other2","other3","pu1","pu2","pu3","unique_rec","gdp","gini","sum","mean","punish","longgame","highgdp","stock0","stock1","stock2","stock3","WEALTH","MEAN","GINI"
"1",1,101,1,1,101,27,1,7,1,111,20,0,NA,20,20,20,16,5,6,10101,80,0,27,0.337500005960464,0,1,0,31,15,26,25,97,0.3375,0.168384879725086
"2",1,101,2,1,101,14,1,7,1,111,31,1,NA,15,26,25,0,8,5,10102,97,0.168384879827499,14,0.174999997019768,0,1,0,36,21,24,26,107,0.144329896907216,0.146417445482866
"3",1,101,3,1,101,11,1,7,1,111,36,6,NA,21,24,26,2,0,3,10103,107,0.146417438983917,11,0.113402061164379,0,1,0,35,24,29,28,116,0.102803738317757,0.0977011494252874
"4",1,101,4,1,101,18,1,7,1,111,35,0,NA,24,29,28,4,9,5,10104,116,0.0977011471986771,18,0.168224304914474,0,1,0,42,27,27,30,126,0.155172413793103,0.126984126984127
"5",1,101,5,1,101,18,1,7,1,111,42,4,NA,27,27,30,5,5,4,10105,126,0.126984134316444,18,0.155172407627106,0,1,0,45,29,29,33,136,0.142857142857143,0.127450980392157
"6",1,101,6,1,101,17,1,7,1,111,45,3,NA,29,29,33,6,5,3,10106,136,0.127450987696648,17,0.1349206417799,0,1,0,49,30,31,37,147,0.125,0.142857142857143
"7",1,101,7,1,101,10,1,7,1,111,49,4,NA,30,31,37,0,4,2,10107,147,0.142857149243355,10,0.073529414832592,0,1,0,49,34,31,39,153,0.0680272108843537,0.128540305010893
"8",1,101,8,1,101,6,1,7,1,111,49,0,NA,34,31,39,2,0,4,10108,153,0.128540307283401,6,0.0408163256943226,0,1,0,52,35,34,38,159,0.0392156862745098,0.119496855345912
"9",1,101,9,1,101,5,1,7,1,111,52,3,NA,35,34,38,1,0,1,10109,159,0.1194968521595,5,0.0326797403395176,0,1,0,51,36,36,39,162,0.0314465408805031,0.0987654320987656
"10",1,101,10,1,101,5,1,7,1,111,51,3,NA,36,36,39,0,1,1,10110,162,0.0987654328346252,5,0.0314465425908566,0,1,0,50,38,37,40,165,0.0308641975308642,0.0828282828282827
"11",1,101,11,1,101,3,1,7,1,111,50,0,NA,38,37,40,2,0,1,10111,165,0.0828282833099365,3,0.0185185186564922,0,1,0,52,38,39,41,170,0.0181818181818182,0.0862745098039216
"12",1,101,12,1,101,2,1,7,1,111,52,0,NA,38,39,41,0,1,1,10112,170,0.0862745121121407,2,0.0121212117373943,0,1,0,53,39,39,41,172,0.0117647058823529,0.0852713178294572
"13",1,101,13,1,101,1,1,7,1,111,53,0,NA,39,39,41,1,0,0,10113,172,0.0852713212370872,1,0.0058823530562222,0,1,0,54,39,40,42,175,0.00581395348837209,0.0895238095238096
"14",1,101,14,1,101,5,1,7,1,111,54,0,NA,39,40,42,5,0,0,10114,175,0.0895238071680069,5,0.0290697682648897,0,1,0,56,36,42,44,178,0.0285714285714286,0.116104868913858
"15",1,101,15,1,101,8,1,7,1,111,56,3,NA,36,42,44,4,0,1,10115,178,0.116104871034622,8,0.0457142852246761,0,1,0,56,35,45,46,182,0.0449438202247191,0.117216117216117
"16",1,101,1,1,101,27,2,7,8,112,20,16,NA,20,20,20,0,5,6,10801,80,0,27,0.337500005960464,0,1,0,15,31,26,25,97,0.3375,0.168384879725086
"17",1,101,2,1,101,14,2,7,8,112,15,0,NA,31,26,25,1,8,5,10802,97,0.168384879827499,14,0.174999997019768,0,1,0,21,36,24,26,107,0.144329896907216,0.146417445482866
"18",1,101,3,1,101,11,2,7,8,112,21,2,NA,36,24,26,6,0,3,10803,107,0.146417438983917,11,0.113402061164379,0,1,0,24,35,29,28,116,0.102803738317757,0.0977011494252874
"19",1,101,4,1,101,18,2,7,8,112,24,4,NA,35,29,28,0,9,5,10804,116,0.0977011471986771,18,0.168224304914474,0,1,0,27,42,27,30,126,0.155172413793103,0.126984126984127
"20",1,101,5,1,101,18,2,7,8,112,27,5,NA,42,27,30,4,5,4,10805,126,0.111111111938953,18,0.155172407627106,0,1,0,29,45,29,33,136,0.142857142857143,0.127450980392157
"21",1,101,6,1,101,17,2,7,8,112,29,6,NA,45,29,33,3,5,3,10806,136,0.107843138277531,17,0.1349206417799,0,1,0,30,49,31,37,147,0.125,0.142857142857143
"22",1,101,7,1,101,10,2,7,8,112,30,0,NA,49,31,37,4,4,2,10807,147,0.142857149243355,10,0.073529414832592,0,1,0,34,49,31,39,153,0.0680272108843537,0.128540305010893
"23",1,101,8,1,101,6,2,7,8,112,34,2,NA,49,31,39,0,0,4,10808,153,0.128540307283401,6,0.0408163256943226,0,1,0,35,52,34,38,159,0.0392156862745098,0.119496855345912
"24",1,101,9,1,101,5,2,7,8,112,35,1,NA,52,34,38,3,0,1,10809,159,0.1194968521595,5,0.0326797403395176,0,1,0,36,51,36,39,162,0.0314465408805031,0.0987654320987656
"25",1,101,10,1,101,5,2,7,8,112,36,0,NA,51,36,39,3,1,1,10810,162,0.0864197537302971,5,0.0314465425908566,0,1,0,38,50,37,40,165,0.0308641975308642,0.0828282828282827
"26",1,101,11,1,101,3,2,7,8,112,38,2,NA,50,37,40,0,0,1,10811,165,0.0828282833099365,3,0.0185185186564922,0,1,0,38,52,39,41,170,0.0181818181818182,0.0862745098039216
"27",1,101,12,1,101,2,2,7,8,112,38,0,NA,52,39,41,0,1,1,10812,170,0.0862745121121407,2,0.0121212117373943,0,1,0,39,53,39,41,172,0.0117647058823529,0.0852713178294572
"28",1,101,13,1,101,1,2,7,8,112,39,1,NA,53,39,41,0,0,0,10813,172,0.077519379556179,1,0.0058823530562222,0,1,0,39,54,40,42,175,0.00581395348837209,0.0895238095238096
"29",1,101,14,1,101,5,2,7,8,112,39,5,NA,54,40,42,0,0,0,10814,175,0.0895238071680069,5,0.0290697682648897,0,1,0,36,56,42,44,178,0.0285714285714286,0.116104868913858
"30",1,101,15,1,101,8,2,7,8,112,36,4,NA,56,42,44,3,0,1,10815,178,0.116104871034622,8,0.0457142852246761,0,1,0,35,56,45,46,182,0.0449438202247191,0.117216117216117
"31",1,101,1,1,101,27,3,7,15,113,20,5,NA,20,20,20,0,16,6,11501,80,0,27,0.337500005960464,0,1,0,26,31,15,25,97,0.3375,0.168384879725086
"32",1,101,2,1,101,14,3,7,15,113,26,8,NA,31,15,25,1,0,5,11502,97,0.168384879827499,14,0.174999997019768,0,1,0,24,36,21,26,107,0.144329896907216,0.146417445482866
"33",1,101,3,1,101,11,3,7,15,113,24,0,NA,36,21,26,6,2,3,11503,107,0.146417438983917,11,0.113402061164379,0,1,0,29,35,24,28,116,0.102803738317757,0.0977011494252874
"34",1,101,4,1,101,18,3,7,15,113,29,9,NA,35,24,28,0,4,5,11504,116,0.0977011471986771,18,0.168224304914474,0,1,0,27,42,27,30,126,0.155172413793103,0.126984126984127
"35",1,101,5,1,101,18,3,7,15,113,27,5,NA,42,27,30,4,5,4,11505,126,0.111111111938953,18,0.155172407627106,0,1,0,29,45,29,33,136,0.142857142857143,0.127450980392157
