"","participant.code","treatment","session.code","groupID","othersContribution","ownContribution","trust","comprehension"
"1",111,"noPunish15",1,101,27,0,NA,NA
"2",112,"noPunish15",1,101,11,16,NA,NA
"3",113,"noPunish15",1,101,22,5,NA,NA
"4",114,"noPunish15",1,101,21,6,NA,NA
"5",121,"noPunish15",1,102,28,15,NA,NA
"6",122,"noPunish15",1,102,33,10,NA,NA
"7",123,"noPunish15",1,102,35,8,NA,NA
"8",124,"noPunish15",1,102,33,10,NA,NA
"9",131,"noPunish15",1,103,22,8,NA,NA
"10",132,"noPunish15",1,103,28,2,NA,NA
"11",133,"noPunish15",1,103,30,0,NA,NA
"12",134,"noPunish15",1,103,10,20,NA,NA
"13",141,"noPunish15",1,104,21,20,NA,NA
"14",142,"noPunish15",1,104,35,6,NA,NA
"15",143,"noPunish15",1,104,36,5,NA,NA
"16",144,"noPunish15",1,104,31,10,NA,NA
"17",151,"noPunish15",1,105,50,12,NA,NA
"18",152,"noPunish15",1,105,42,20,NA,NA
"19",153,"noPunish15",1,105,42,20,NA,NA
"20",154,"noPunish15",1,105,52,10,NA,NA
"21",161,"noPunish15",1,106,45,5,NA,NA
"22",162,"noPunish15",1,106,40,10,NA,NA
"23",163,"noPunish15",1,106,35,15,NA,NA
"24",164,"noPunish15",1,106,30,20,NA,NA
"25",171,"noPunish15",1,107,42,20,NA,NA
"26",172,"noPunish15",1,107,42,20,NA,NA
"27",173,"noPunish15",1,107,42,20,NA,NA
"28",174,"noPunish15",1,107,60,2,NA,NA
"29",311,"noPunish15",3,301,36,7,NA,NA
"30",312,"noPunish15",3,301,38,5,NA,NA
"31",313,"noPunish15",3,301,25,18,NA,NA
"32",314,"noPunish15",3,301,30,13,NA,NA
"33",321,"noPunish15",3,302,30,7,NA,NA
"34",322,"noPunish15",3,302,32,5,NA,NA
"35",323,"noPunish15",3,302,25,12,NA,NA
"36",324,"noPunish15",3,302,24,13,NA,NA
"37",331,"noPunish15",3,303,20,13,NA,NA
"38",332,"noPunish15",3,303,25,8,NA,NA
"39",333,"noPunish15",3,303,23,10,NA,NA
"40",334,"noPunish15",3,303,31,2,NA,NA
"41",341,"noPunish15",3,304,35,15,NA,NA
"42",342,"noPunish15",3,304,50,0,NA,NA
"43",343,"noPunish15",3,304,35,15,NA,NA
"44",344,"noPunish15",3,304,30,20,NA,NA
"45",351,"noPunish15",3,305,40,15,NA,NA
"46",352,"noPunish15",3,305,45,10,NA,NA
"47",353,"noPunish15",3,305,35,20,NA,NA
"48",354,"noPunish15",3,305,45,10,NA,NA
"49",361,"noPunish15",3,306,38,4,NA,NA
"50",362,"noPunish15",3,306,22,20,NA,NA
"51",363,"noPunish15",3,306,32,10,NA,NA
"52",364,"noPunish15",3,306,34,8,NA,NA
"53",371,"noPunish15",3,307,36,12,NA,NA
"54",372,"noPunish15",3,307,38,10,NA,NA
"55",373,"noPunish15",3,307,42,6,NA,NA
"56",374,"noPunish15",3,307,28,20,NA,NA
"57",381,"noPunish15",3,308,19,4,NA,NA
"58",382,"noPunish15",3,308,23,0,NA,NA
"59",383,"noPunish15",3,308,14,9,NA,NA
"60",384,"noPunish15",3,308,13,10,NA,NA
"61",511,"noPunish10",5,501,35,0,NA,NA
"62",512,"noPunish10",5,501,30,5,NA,NA
"63",513,"noPunish10",5,501,20,15,NA,NA
"64",514,"noPunish10",5,501,20,15,NA,NA
