"","participant.code","session.code","donation","inconsistent","switching_row","id_in_group","role","payoff","pq01","pq02","pq03","pq04","pq05","pq06","pq07","pq08","pq09","pq10","pq11","pq12","pq13","pq14","age","gender","education","income","cliccs1","cliccs2","treatment","groupID"
"1","7qxdsoam","jyf8xd0s",1,NA,NA,1,NA,0,6,4,4,3,4,4,4,6,0,5,4,1,5,6,58,0,7,2,"Wasserversorgung/Ernährung","? Diskussion im eigenen Umfeld","replication","jyf8xd0s_6"
"2","1nlrkolq","jyf8xd0s",0,NA,NA,2,NA,0,5,1,3,1,4,4,4,5,0,4,4,4,3,4,64,0,6,3,"Stoppen der Erderwärmung","Energie sparen","replication","jyf8xd0s_2"
"3","4q799so5","jyf8xd0s",2.5,NA,NA,3,NA,0,3,2,4,0,5,5,5,5,0,4,3,4,4,4,63,1,5,2,"Meeresspiegel, Wassermangel, Luftverschmutzung, Wasserverschmutzung","keine Flüge, Energie sparen, Verzicht auf Plastik,","replication","jyf8xd0s_4"
"4","hwazt60e","jyf8xd0s",0,NA,NA,4,NA,0,4,1,4,0,6,5,6,5,0,1,3,4,2,5,50,0,7,5,"Katastrophen wie Trockenheit, Überschwemmung, Stürme, Artensterben","Ich achte auf meinen Plastikverbrauch, bin vielfahrender Radfahrer","replication","jyf8xd0s_7"
"5","mws1e1et","jyf8xd0s",0,NA,NA,5,NA,0,3,1,3,6,3,4,5,3,1,5,2,4,5,5,54,0,7,3,"Wasserknappheit","Über neue Techniken nachdenken","replication","jyf8xd0s_9"
"6","noh2twn0","jyf8xd0s",0.75,NA,NA,6,NA,0,4,4,3,3,4,3,6,6,5,4,4,5,5,6,29,1,6,1,"Anpassung der Gesellschaft und aktueller Lifestyle an das wandelnde Klima. Viele werden wahrscheinlich nicht auf das Auto verzichten.","Ich versuche möglichst öffentliche Verkehrsmittel zu benutzen und beim konsumieren von bestimmten Gegenstände frage ich mich dann, ob es wirklich sein muss bzw. brauche ich es wirklich.","replication","jyf8xd0s_5"
"7","o4hnha0r","jyf8xd0s",3.75,NA,NA,7,NA,0,5,2,3,4,2,3,5,2,0,4,3,1,4,6,45,0,7,2,"Verzicht aus Annehmlichkeiten","Vorbild sein, möglichst kleiner Co2 Fußabdruck","replication","jyf8xd0s_2"
"8","lu3l8xac","jyf8xd0s",1.6,NA,NA,8,NA,0,3,4,3,1,3,4,5,5,1,3,5,3,3,5,49,1,3,2,"Entwicklung Nachhaltigkeit Weltweit","..","replication","jyf8xd0s_5"
"9","aoggj216","jyf8xd0s",0,NA,NA,9,NA,0,5,1,5,1,5,3,6,5,0,4,5,5,4,4,45,1,6,2,"Die Menschen zum Umdenken zu bewegen und das auch kleine Schritte schon viel helfen.","Versuchen, das Auto weniger zu benutzen, gerade für kürzere Strecken.","replication","jyf8xd0s_7"
"10","0tmkyzhn","jyf8xd0s",1,NA,NA,10,NA,0,3,1,3,0,3,1,1,1,0,5,3,2,3,6,65,1,6,2,"Konsum einschränken, Wachstum stoppen","weniger u. überlegter Konsum","replication","jyf8xd0s_7"
"11","70l2i4j9","jyf8xd0s",0,NA,NA,11,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,"","","replication","jyf8xd0s_1"
"12","6iej8m36","jyf8xd0s",1.1,NA,NA,12,NA,0,4,2,4,1,6,3,6,1,1,2,5,4,2,5,36,1,6,2,"Hochwasser","vorbereitende Sanierungsmaßnahmen","replication","jyf8xd0s_5"
"13","wxz5apgl","jyf8xd0s",2.35,NA,NA,13,NA,0,4,1,5,1,6,4,5,5,3,3,5,5,6,6,37,0,7,5,"Akzeptanz des Problems und Geschwindigkeit in der Adaption","Keinen ""Schuldigen"" suchen, Lösungsorientiert denken, nicht aufgeben und produktiv das umsetzen, was es zu tun gibt.","replication","jyf8xd0s_4"
"14","qygq0e1o","jyf8xd0s",0,NA,NA,14,NA,0,4,3,5,2,4,4,6,3,6,2,5,3,4,3,40,0,4,5,"Klares denken der Politiker","nur beobachten","replication","jyf8xd0s_6"
"15","542u0l1u","jyf8xd0s",0,NA,NA,15,NA,0,4,4,3,2,5,4,6,2,6,0,4,4,5,4,32,1,7,9999,"-","-","replication","jyf8xd0s_8"
"16","mzrhqeq9","jyf8xd0s",7.7,NA,NA,16,NA,0,4,1,4,0,3,4,5,3,0,5,3,4,3,5,64,0,7,4,"Konsumreduktion","Verzicht auf unwichtiges nach dem Pareto Prinzip","replication","jyf8xd0s_2"
"17","snp7022l","jyf8xd0s",1.25,NA,NA,17,NA,0,4,1,5,5,4,2,6,6,1,5,3,1,6,6,65,1,3,4,"Die Emissionen durch die Industrie zu senken","Bei den Wahlen das Kreuz an der richtigen Stelle machen;-)","replication","jyf8xd0s_7"
"18","m9mb1jyf","jyf8xd0s",0,NA,NA,18,NA,0,5,1,4,1,5,6,6,5,0,1,4,4,3,3,50,1,7,9999,"Industrie","Ich versuche im kleinen meinen Beitrag zu leisten","replication","jyf8xd0s_3"
"19","exquhzcv","jyf8xd0s",1.65,NA,NA,19,NA,0,2,4,3,1,4,4,5,5,4,3,4,5,5,5,67,0,6,3,"Bewohnbarkeit, Artenerhalt","Politische Ausrichtung, beispielhaft leben","replication","jyf8xd0s_3"
"20","nswbucyb","jyf8xd0s",0,NA,NA,20,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,"","","replication","jyf8xd0s_1"
