"","treatment","groupID","round","contribution","endowment","share","stock","gain","bot_active","disaster","EWE","noComprehension"
"1","noPunish10",501,1,8.75,20,0.4375,25.25,5.25,0,0,0,0
"2","noPunish10",501,2,8.75,25.25,0.4375,30.5,5.25,0,0,0,0
"3","noPunish10",501,3,13.25,30.5,0.524752497673035,37.25,6.75,0,0,0,0
"4","noPunish10",501,4,17.5,37.25,0.573770463466644,46.75,9.5,0,0,0,0
"5","noPunish10",501,5,26,46.75,0.697986602783203,59.75,13,0,0,0,0
"6","noPunish10",501,6,28.75,59.75,0.614973247051239,75,15.25,0,0,0,0
"7","noPunish10",501,7,35.75,75,0.59832638502121,93.25,18.25,0,0,0,0
"8","noPunish10",501,8,32,93.25,0.426666676998138,109.25,16,0,0,0,0
"9","noPunish10",501,9,23.5,109.25,0.332010746002197,121.75,12.5,0,0,0,0
"10","noPunish10",501,10,0.25,121.75,0.15228833258152,122.5,0.75,0,0,0,0
"11","noPunish10",502,1,16.25,20,0.8125,28.75,8.75,0,0,0,0
"12","noPunish10",502,2,21.25,28.75,1.0625,39.5,10.75,0,0,0,0
"13","noPunish10",502,3,33.25,39.5,1.15652179718018,56.25,16.75,0,0,0,0
"14","noPunish10",502,4,45.5,56.25,1.15189874172211,79.75,23.5,0,0,0,0
"15","noPunish10",502,5,65.25,79.75,1.1599999666214,112.5,32.75,0,0,0,0
"16","noPunish10",502,6,92.5,112.5,1.15987455844879,159,46.5,0,0,0,0
"17","noPunish10",502,7,133.25,159,1.18444442749023,225.75,66.75,0,0,0,0
"18","noPunish10",502,8,187.5,225.75,1.17924523353577,320.25,94.5,0,0,0,0
"19","noPunish10",502,9,190.5,320.25,0.923853814601898,415.75,95.5,0,0,0,0
"20","noPunish10",502,10,62.75,415.75,0.345940679311752,448,32.25,0,0,0,0
"21","noPunish10",503,1,10,20,0.5,25,5,0,0,0,0
"22","noPunish10",503,2,11.5,25,0.574999988079071,31.5,6.5,0,0,0,0
"23","noPunish10",503,3,12.75,31.5,0.509999990463257,38.75,7.25,0,0,0,0
"24","noPunish10",503,4,13.75,38.75,0.436507940292358,46,7.25,0,0,0,0
"25","noPunish10",503,5,12.5,46,0.322580635547638,52.5,6.5,0,0,0,0
"26","noPunish10",503,6,11.25,52.5,0.244565218687057,58.25,5.75,0,0,0,0
"27","noPunish10",503,7,13.25,58.25,0.252380967140198,65,6.75,0,0,0,0
"28","noPunish10",503,8,10,65,0.171673819422722,70,5,0,0,0,0
"29","noPunish10",503,9,7.75,70,0.199230775237083,74.25,4.25,0,0,0,0
"30","noPunish10",503,10,2.25,74.25,0.182142853736877,76,1.75,0,0,0,0
"31","noPunish10",504,1,12.75,20,0.637499988079071,27.25,7.25,0,0,0,0
