"","treatment","groupID","round","contribution","endowment","share","stock","gain","bot_active","disaster","EWE","noComprehension"
"1","Hi000","Hi000_10",1,12.75,20,0.6375,27.25,7.25,0,0,0,0
"2","Hi000","Hi000_10",2,18,27.25,0.666556776556777,36.25,9,0,0,0,0
"3","Hi000","Hi000_10",3,21.25,36.25,0.585241954428001,47,10.75,0,0,0,0
"4","Hi000","Hi000_10",4,30.25,47,0.636193520341947,62.75,15.75,0,0,0,0
"5","Hi000","Hi000_10",5,39.75,62.75,0.633076181292189,83,20.25,0,0,0,0
"6","Hi000","Hi000_10",6,42.75,83,0.515612715411912,105.25,22.25,0,0,0,0
"7","Hi000","Hi000_10",7,40.25,105.25,0.37682460953989,126,20.75,0,0,0,0
"8","Hi000","Hi000_10",8,44.25,126,0.352468364968365,148.75,22.75,0,0,0,0
"9","Hi000","Hi000_10",9,49.25,148.75,0.334223526532341,173.5,24.75,0,0,0,0
"10","Hi000","Hi000_10",10,52.5,173.5,0.303311780747186,200,26.5,0,0,0,0
"11","Hi000","Hi000_11",1,12,20,0.6,26,6,0,0,0,1
"12","Hi000","Hi000_11",2,18.25,26,0.702225009290227,35.75,9.75,0,0,0,1
"13","Hi000","Hi000_11",3,20,35.75,0.565367965367965,45.75,10,0,0,0,1
"14","Hi000","Hi000_11",4,28.25,45.75,0.61228704542658,60.5,14.75,0,0,0,1
"15","Hi000","Hi000_11",5,35.25,60.5,0.579484760005697,78.25,17.75,0,0,0,1
"16","Hi000","Hi000_11",6,33.25,78.25,0.424820574162679,95,16.75,0,0,0,1
"17","Hi000","Hi000_11",7,43.5,95,0.460005505825519,117.5,22.5,0,0,0,1
"18","Hi000","Hi000_11",8,53.25,117.5,0.452317498755907,144.25,26.75,0,0,0,1
"19","Hi000","Hi000_11",9,49.25,144.25,0.343958985876279,169,24.75,0,0,0,1
"20","Hi000","Hi000_11",10,46,169,0.271556259350338,192,23,0,0,0,1
"21","Hi000","Hi000_12",1,12.75,20,0.6375,27.25,7.25,0,0,0,1
"22","Hi000","Hi000_12",2,14.5,27.25,0.531513409961686,34.75,7.5,0,0,0,1
"23","Hi000","Hi000_12",3,20.25,34.75,0.590606584027637,45.5,10.75,0,0,0,1
