participant.id_in_session,participant.code,participant.label,participant._is_bot,participant._index_in_pages,participant._max_page_index,participant._current_app_name,participant._current_page_name,participant.time_started,participant.visited,participant.mturk_worker_id,participant.mturk_assignment_id,participant.payoff,participant.payoff_plus_participation_fee,session.code,session.label,session.mturk_HITId,session.mturk_HITGroupId,session.comment,session.is_demo,session.config.participation_fee,session.config.risk,session.config.num_rounds,session.config.real_world_currency_per_point,Intro.1.player.id_in_group,Intro.1.player.window_width,Intro.1.player.window_height,Intro.1.player.browser,Intro.1.player.CQ1_1,Intro.1.player.CQ1_2,Intro.1.player.CQ2_1,Intro.1.player.CQ2_2,Intro.1.player.MCQ_1,Intro.1.player.MCQ_2,Intro.1.player.payoff,Intro.1.group.id_in_subsession,Intro.1.subsession.round_number,dPGG.1.player.id_in_group,dPGG.1.player.review_instructions,dPGG.1.player.wait_time_left,dPGG.1.player.endowment,dPGG.1.player.contribution,dPGG.1.player.belief,dPGG.1.player.gross_gain,dPGG.1.player.gain,dPGG.1.player.stock,dPGG.1.player.is_dropout,dPGG.1.player.payoff,dPGG.1.group.id_in_subsession,dPGG.1.group.EWE,dPGG.1.group.disaster,dPGG.1.group.total_contribution,dPGG.1.group.average_contribution,dPGG.1.group.individual_share,dPGG.1.group.bot_active,dPGG.1.group.wealth,dPGG.1.subsession.round_number,dPGG.2.player.id_in_group,dPGG.2.player.review_instructions,dPGG.2.player.wait_time_left,dPGG.2.player.endowment,dPGG.2.player.contribution,dPGG.2.player.belief,dPGG.2.player.gross_gain,dPGG.2.player.gain,dPGG.2.player.stock,dPGG.2.player.is_dropout,dPGG.2.player.payoff,dPGG.2.group.id_in_subsession,dPGG.2.group.EWE,dPGG.2.group.disaster,dPGG.2.group.total_contribution,dPGG.2.group.average_contribution,dPGG.2.group.individual_share,dPGG.2.group.bot_active,dPGG.2.group.wealth,dPGG.2.subsession.round_number,dPGG.3.player.id_in_group,dPGG.3.player.review_instructions,dPGG.3.player.wait_time_left,dPGG.3.player.endowment,dPGG.3.player.contribution,dPGG.3.player.belief,dPGG.3.player.gross_gain,dPGG.3.player.gain,dPGG.3.player.stock,dPGG.3.player.is_dropout,dPGG.3.player.payoff,dPGG.3.group.id_in_subsession,dPGG.3.group.EWE,dPGG.3.group.disaster,dPGG.3.group.total_contribution,dPGG.3.group.average_contribution,dPGG.3.group.individual_share,dPGG.3.group.bot_active,dPGG.3.group.wealth,dPGG.3.subsession.round_number,dPGG.4.player.id_in_group,dPGG.4.player.review_instructions,dPGG.4.player.wait_time_left,dPGG.4.player.endowment,dPGG.4.player.contribution,dPGG.4.player.belief,dPGG.4.player.gross_gain,dPGG.4.player.gain,dPGG.4.player.stock,dPGG.4.player.is_dropout,dPGG.4.player.payoff,dPGG.4.group.id_in_subsession,dPGG.4.group.EWE,dPGG.4.group.disaster,dPGG.4.group.total_contribution,dPGG.4.group.average_contribution,dPGG.4.group.individual_share,dPGG.4.group.bot_active,dPGG.4.group.wealth,dPGG.4.subsession.round_number,dPGG.5.player.id_in_group,dPGG.5.player.review_instructions,dPGG.5.player.wait_time_left,dPGG.5.player.endowment,dPGG.5.player.contribution,dPGG.5.player.belief,dPGG.5.player.gross_gain,dPGG.5.player.gain,dPGG.5.player.stock,dPGG.5.player.is_dropout,dPGG.5.player.payoff,dPGG.5.group.id_in_subsession,dPGG.5.group.EWE,dPGG.5.group.disaster,dPGG.5.group.total_contribution,dPGG.5.group.average_contribution,dPGG.5.group.individual_share,dPGG.5.group.bot_active,dPGG.5.group.wealth,dPGG.5.subsession.round_number,dPGG.6.player.id_in_group,dPGG.6.player.review_instructions,dPGG.6.player.wait_time_left,dPGG.6.player.endowment,dPGG.6.player.contribution,dPGG.6.player.belief,dPGG.6.player.gross_gain,dPGG.6.player.gain,dPGG.6.player.stock,dPGG.6.player.is_dropout,dPGG.6.player.payoff,dPGG.6.group.id_in_subsession,dPGG.6.group.EWE,dPGG.6.group.disaster,dPGG.6.group.total_contribution,dPGG.6.group.average_contribution,dPGG.6.group.individual_share,dPGG.6.group.bot_active,dPGG.6.group.wealth,dPGG.6.subsession.round_number,dPGG.7.player.id_in_group,dPGG.7.player.review_instructions,dPGG.7.player.wait_time_left,dPGG.7.player.endowment,dPGG.7.player.contribution,dPGG.7.player.belief,dPGG.7.player.gross_gain,dPGG.7.player.gain,dPGG.7.player.stock,dPGG.7.player.is_dropout,dPGG.7.player.payoff,dPGG.7.group.id_in_subsession,dPGG.7.group.EWE,dPGG.7.group.disaster,dPGG.7.group.total_contribution,dPGG.7.group.average_contribution,dPGG.7.group.individual_share,dPGG.7.group.bot_active,dPGG.7.group.wealth,dPGG.7.subsession.round_number,dPGG.8.player.id_in_group,dPGG.8.player.review_instructions,dPGG.8.player.wait_time_left,dPGG.8.player.endowment,dPGG.8.player.contribution,dPGG.8.player.belief,dPGG.8.player.gross_gain,dPGG.8.player.gain,dPGG.8.player.stock,dPGG.8.player.is_dropout,dPGG.8.player.payoff,dPGG.8.group.id_in_subsession,dPGG.8.group.EWE,dPGG.8.group.disaster,dPGG.8.group.total_contribution,dPGG.8.group.average_contribution,dPGG.8.group.individual_share,dPGG.8.group.bot_active,dPGG.8.group.wealth,dPGG.8.subsession.round_number,dPGG.9.player.id_in_group,dPGG.9.player.review_instructions,dPGG.9.player.wait_time_left,dPGG.9.player.endowment,dPGG.9.player.contribution,dPGG.9.player.belief,dPGG.9.player.gross_gain,dPGG.9.player.gain,dPGG.9.player.stock,dPGG.9.player.is_dropout,dPGG.9.player.payoff,dPGG.9.group.id_in_subsession,dPGG.9.group.EWE,dPGG.9.group.disaster,dPGG.9.group.total_contribution,dPGG.9.group.average_contribution,dPGG.9.group.individual_share,dPGG.9.group.bot_active,dPGG.9.group.wealth,dPGG.9.subsession.round_number,dPGG.10.player.id_in_group,dPGG.10.player.review_instructions,dPGG.10.player.wait_time_left,dPGG.10.player.endowment,dPGG.10.player.contribution,dPGG.10.player.belief,dPGG.10.player.gross_gain,dPGG.10.player.gain,dPGG.10.player.stock,dPGG.10.player.is_dropout,dPGG.10.player.payoff,dPGG.10.group.id_in_subsession,dPGG.10.group.EWE,dPGG.10.group.disaster,dPGG.10.group.total_contribution,dPGG.10.group.average_contribution,dPGG.10.group.individual_share,dPGG.10.group.bot_active,dPGG.10.group.wealth,dPGG.10.subsession.round_number,dPGG.11.player.id_in_group,dPGG.11.player.review_instructions,dPGG.11.player.wait_time_left,dPGG.11.player.endowment,dPGG.11.player.contribution,dPGG.11.player.belief,dPGG.11.player.gross_gain,dPGG.11.player.gain,dPGG.11.player.stock,dPGG.11.player.is_dropout,dPGG.11.player.payoff,dPGG.11.group.id_in_subsession,dPGG.11.group.EWE,dPGG.11.group.disaster,dPGG.11.group.total_contribution,dPGG.11.group.average_contribution,dPGG.11.group.individual_share,dPGG.11.group.bot_active,dPGG.11.group.wealth,dPGG.11.subsession.round_number,dPGG.12.player.id_in_group,dPGG.12.player.review_instructions,dPGG.12.player.wait_time_left,dPGG.12.player.endowment,dPGG.12.player.contribution,dPGG.12.player.belief,dPGG.12.player.gross_gain,dPGG.12.player.gain,dPGG.12.player.stock,dPGG.12.player.is_dropout,dPGG.12.player.payoff,dPGG.12.group.id_in_subsession,dPGG.12.group.EWE,dPGG.12.group.disaster,dPGG.12.group.total_contribution,dPGG.12.group.average_contribution,dPGG.12.group.individual_share,dPGG.12.group.bot_active,dPGG.12.group.wealth,dPGG.12.subsession.round_number,dPGG.13.player.id_in_group,dPGG.13.player.review_instructions,dPGG.13.player.wait_time_left,dPGG.13.player.endowment,dPGG.13.player.contribution,dPGG.13.player.belief,dPGG.13.player.gross_gain,dPGG.13.player.gain,dPGG.13.player.stock,dPGG.13.player.is_dropout,dPGG.13.player.payoff,dPGG.13.group.id_in_subsession,dPGG.13.group.EWE,dPGG.13.group.disaster,dPGG.13.group.total_contribution,dPGG.13.group.average_contribution,dPGG.13.group.individual_share,dPGG.13.group.bot_active,dPGG.13.group.wealth,dPGG.13.subsession.round_number,dPGG.14.player.id_in_group,dPGG.14.player.review_instructions,dPGG.14.player.wait_time_left,dPGG.14.player.endowment,dPGG.14.player.contribution,dPGG.14.player.belief,dPGG.14.player.gross_gain,dPGG.14.player.gain,dPGG.14.player.stock,dPGG.14.player.is_dropout,dPGG.14.player.payoff,dPGG.14.group.id_in_subsession,dPGG.14.group.EWE,dPGG.14.group.disaster,dPGG.14.group.total_contribution,dPGG.14.group.average_contribution,dPGG.14.group.individual_share,dPGG.14.group.bot_active,dPGG.14.group.wealth,dPGG.14.subsession.round_number,dPGG.15.player.id_in_group,dPGG.15.player.review_instructions,dPGG.15.player.wait_time_left,dPGG.15.player.endowment,dPGG.15.player.contribution,dPGG.15.player.belief,dPGG.15.player.gross_gain,dPGG.15.player.gain,dPGG.15.player.stock,dPGG.15.player.is_dropout,dPGG.15.player.payoff,dPGG.15.group.id_in_subsession,dPGG.15.group.EWE,dPGG.15.group.disaster,dPGG.15.group.total_contribution,dPGG.15.group.average_contribution,dPGG.15.group.individual_share,dPGG.15.group.bot_active,dPGG.15.group.wealth,dPGG.15.subsession.round_number,Outro.1.player.id_in_group,Outro.1.player.Age,Outro.1.player.Gender,Outro.1.player.Education,Outro.1.player.Income,Outro.1.player.Comprehension,Outro.1.player.CLICCS1,Outro.1.player.CLICCS2,Outro.1.player.payoff,Outro.1.group.id_in_subsession,Outro.1.subsession.round_number
1,6bhlmq7z,,1,80,80,Outro,Outro_Final,2021-03-08 20:13:25.409817+00:00,1,,,82,6.10,2etf5rjr,,,,,0,2.00,0.0,10,0.05,1,1,1,Chrome Canary,20,20,25,25,"['2', '3']","['2', '3']",0,1,1,1,0,6,20,12,13,1,1,21,0,21,2,0,0,29,9.67,13,0,60,1,1,0,,21,11,,4,4,25,0,4,2,0,0,36,12.0,15,0,70,2,1,0,,25,16,,4,4,29,0,4,2,0,0,48,16.0,20,0,79,3,1,0,,29,9,,7,7,36,0,7,2,0,0,37,12.33,16,0,91,4,1,0,,36,16,,6,6,42,0,6,2,0,0,52,17.33,22,0,102,5,1,0,,42,22,,1,1,43,0,1,2,0,0,53,17.67,23,0,116,6,1,0,,43,23,,11,11,54,0,11,2,0,0,81,27.0,34,0,132,7,1,0,,54,26,,9,9,63,0,9,2,0,0,82,27.33,35,0,153,8,1,0,,63,24,,9,9,72,0,9,2,0,0,79,26.33,33,0,176,9,1,0,,72,31,,10,10,82,0,10,2,0,0,97,32.33,41,0,196,10,1,0,,,,,,,,0,0,2,0,0,,,,0,,11,1,0,,,,,,,,0,0,2,0,0,,,,0,,12,1,0,,,,,,,,0,0,2,0,0,,,,0,,13,1,0,,,,,,,,0,0,2,0,0,,,,0,,14,1,0,,,,,,,,0,0,2,0,0,,,,0,,15,1,22,diverse,uni,49392,yes,lorem ipsum,lorem ipsum,0,1,1
2,gcv5ms40,,1,80,80,Outro,Outro_Final,2021-03-08 20:13:25.444729+00:00,1,,,80,6.00,2etf5rjr,,,,,0,2.00,0.0,10,0.05,2,1,1,Chrome Canary,20,20,25,25,"['2', '3']","['2', '3']",0,1,1,2,0,6,20,10,20,3,3,23,0,23,2,0,0,29,9.67,13,0,60,1,2,0,,23,8,,7,7,30,0,7,2,0,0,36,12.0,15,0,70,2,2,0,,30,16,,4,4,34,0,4,2,0,0,48,16.0,20,0,79,3,2,0,,34,19,,-3,-3,31,0,-3,2,0,0,37,12.33,16,0,91,4,2,0,,31,13,,9,9,40,0,9,2,0,0,52,17.33,22,0,102,5,2,0,,40,16,,7,7,47,0,7,2,0,0,53,17.67,23,0,116,6,2,0,,47,31,,3,3,50,0,3,2,0,0,81,27.0,34,0,132,7,2,0,,50,27,,8,8,58,0,8,2,0,0,82,27.33,35,0,153,8,2,0,,58,21,,12,12,70,0,12,2,0,0,79,26.33,33,0,176,9,2,0,,70,31,,10,10,80,0,10,2,0,0,97,32.33,41,0,196,10,2,0,,,,,,,,0,0,2,0,0,,,,0,,11,2,0,,,,,,,,0,0,2,0,0,,,,0,,12,2,0,,,,,,,,0,0,2,0,0,,,,0,,13,2,0,,,,,,,,0,0,2,0,0,,,,0,,14,2,0,,,,,,,,0,0,2,0,0,,,,0,,15,2,21,diverse,uni,41420,yes,lorem ipsum,lorem ipsum,0,1,1
3,n7mgjfo9,,1,80,80,Outro,Outro_Final,2021-03-08 20:13:25.468578+00:00,1,,,70,5.50,2etf5rjr,,,,,0,2.00,0.0,10,0.05,3,1,1,Chrome Canary,20,20,25,25,"['2', '3']","['2', '3']",0,1,1,3,0,,20,7,11,6,6,26,0,36,2,0,0,29,9.67,13,0,60,1,3,0,,26,17,,-2,-2,24,0,-2,2,0,0,36,12.0,15,0,70,2,3,0,,24,16,,4,4,28,0,4,2,0,0,48,16.0,20,0,79,3,3,0,,28,9,,7,7,35,0,7,2,0,0,37,12.33,16,0,91,4,3,0,,35,23,,-1,-1,34,0,-1,2,0,0,52,17.33,22,0,102,5,3,0,,34,15,,8,8,42,0,8,2,0,0,53,17.67,23,0,116,6,3,0,,42,27,,7,7,49,0,7,2,0,0,81,27.0,34,0,132,7,3,0,,49,29,,6,6,55,0,6,2,0,0,82,27.33,35,0,153,8,3,0,,55,34,,-1,-1,54,0,-1,2,0,0,79,26.33,33,0,176,9,3,0,,54,35,,6,6,60,0,6,2,0,0,97,32.33,41,0,196,10,3,0,,,,,,,,0,0,2,0,0,,,,0,,11,3,0,,,,,,,,0,0,2,0,0,,,,0,,12,3,0,,,,,,,,0,0,2,0,0,,,,0,,13,3,0,,,,,,,,0,0,2,0,0,,,,0,,14,3,0,,,,,,,,0,0,2,0,0,,,,0,,15,3,24,diverse,uni,45596,yes,lorem ipsum,lorem ipsum,0,1,1
4,4vdiwpye,,1,80,80,Outro,Outro_Final,2021-03-08 20:13:25.493653+00:00,1,,,70,5.50,2etf5rjr,,,,,0,2.00,0.0,10,0.05,4,1,1,Chrome Canary,20,20,25,25,"['2', '3']","['2', '3']",0,1,1,1,0,6,20,13,20,0,0,20,0,20,3,0,0,29,9.67,13,0,60,1,1,0,,20,11,,4,4,24,0,4,3,0,0,34,11.33,15,0,70,2,1,0,,24,9,,6,6,30,0,6,3,0,0,36,12.0,15,0,81,3,1,0,,30,15,,8,8,38,0,8,3,0,0,53,17.67,23,0,90,4,1,0,,38,24,,0,0,38,0,0,3,0,0,56,18.67,24,0,106,5,1,0,,38,23,,5,5,43,0,5,3,0,0,65,21.67,28,0,122,6,1,0,,43,14,,14,14,57,0,14,3,0,0,65,21.67,28,0,141,7,1,0,,57,28,,0,0,57,0,0,3,0,0,67,22.33,28,0,160,8,1,0,,57,29,,10,10,67,0,10,3,0,0,93,31.0,39,0,177,9,1,0,,67,34,,3,3,70,0,3,3,0,0,87,29.0,37,0,201,10,1,0,,,,,,,,0,0,3,0,0,,,,0,,11,1,0,,,,,,,,0,0,3,0,0,,,,0,,12,1,0,,,,,,,,0,0,3,0,0,,,,0,,13,1,0,,,,,,,,0,0,3,0,0,,,,0,,14,1,0,,,,,,,,0,0,3,0,0,,,,0,,15,4,24,diverse,uni,31583,yes,lorem ipsum,lorem ipsum,0,1,1
5,kbrldmiy,,1,80,80,Outro,Outro_Final,2021-03-08 20:13:25.516652+00:00,1,,,78,5.90,2etf5rjr,,,,,0,2.00,0.0,10,0.05,5,1,1,Chrome Canary,20,20,25,25,"['2', '3']","['2', '3']",0,1,1,2,0,6,20,10,14,3,3,23,0,23,3,0,0,29,9.67,13,0,60,1,2,0,,23,8,,7,7,30,0,7,3,0,0,34,11.33,15,0,70,2,2,0,,30,14,,1,1,31,0,1,3,0,0,36,12.0,15,0,81,3,2,0,,31,20,,3,3,34,0,3,3,0,0,53,17.67,23,0,90,4,2,0,,34,20,,4,4,38,0,4,3,0,0,56,18.67,24,0,106,5,2,0,,38,21,,7,7,45,0,7,3,0,0,65,21.67,28,0,122,6,2,0,,45,26,,2,2,47,0,2,3,0,0,65,21.67,28,0,141,7,2,0,,47,18,,10,10,57,0,10,3,0,0,67,22.33,28,0,160,8,2,0,,57,27,,12,12,69,0,12,3,0,0,93,31.0,39,0,177,9,2,0,,69,28,,9,9,78,0,9,3,0,0,87,29.0,37,0,201,10,2,0,,,,,,,,0,0,3,0,0,,,,0,,11,2,0,,,,,,,,0,0,3,0,0,,,,0,,12,2,0,,,,,,,,0,0,3,0,0,,,,0,,13,2,0,,,,,,,,0,0,3,0,0,,,,0,,14,2,0,,,,,,,,0,0,3,0,0,,,,0,,15,5,18,diverse,uni,42498,yes,lorem ipsum,lorem ipsum,0,1,1
6,259c3539,,1,80,80,Outro,Outro_Final,2021-03-08 20:13:25.539984+00:00,1,,,87,6.35,2etf5rjr,,,,,0,2.00,0.0,10,0.05,6,1,1,Chrome Canary,20,20,25,25,"['2', '3']","['2', '3']",0,1,1,3,0,,20,6,11,7,7,27,0,37,3,0,0,29,9.67,13,0,60,1,3,0,,27,15,,0,0,27,0,0,3,0,0,34,11.33,15,0,70,2,3,0,,27,13,,2,2,29,0,2,3,0,0,36,12.0,15,0,81,3,3,0,,29,18,,5,5,34,0,5,3,0,0,53,17.67,23,0,90,4,3,0,,34,12,,12,12,46,0,12,3,0,0,56,18.67,24,0,106,5,3,0,,46,21,,7,7,53,0,7,3,0,0,65,21.67,28,0,122,6,3,0,,53,25,,3,3,56,0,3,3,0,0,65,21.67,28,0,141,7,3,0,,56,21,,7,7,63,0,7,3,0,0,67,22.33,28,0,160,8,3,0,,63,37,,2,2,65,0,2,3,0,0,93,31.0,39,0,177,9,3,0,,65,25,,12,12,77,0,12,3,0,0,87,29.0,37,0,201,10,3,0,,,,,,,,0,0,3,0,0,,,,0,,11,3,0,,,,,,,,0,0,3,0,0,,,,0,,12,3,0,,,,,,,,0,0,3,0,0,,,,0,,13,3,0,,,,,,,,0,0,3,0,0,,,,0,,14,3,0,,,,,,,,0,0,3,0,0,,,,0,,15,6,22,diverse,uni,38043,yes,lorem ipsum,lorem ipsum,0,1,1
7,0sw169fc,,1,80,80,Outro,Outro_Final,2021-03-08 20:13:25.563418+00:00,1,,,58,4.90,2etf5rjr,,,,,0,2.00,0.0,10,0.05,7,1,1,Chrome Canary,20,20,25,25,"['2', '3']","['2', '3']",0,1,1,1,0,6,20,11,16,2,2,22,0,22,4,0,0,29,9.67,13,0,60,1,1,0,,22,12,,6,6,28,0,6,4,0,0,42,14.0,18,0,70,2,1,0,,28,14,,5,5,33,0,5,4,0,0,44,14.67,19,0,82,3,1,0,,33,11,,9,9,42,0,9,4,0,0,48,16.0,20,0,95,4,1,0,,42,16,,2,2,44,0,2,4,0,0,41,13.67,18,0,107,5,1,0,,44,24,,-1,-1,43,0,-1,4,0,0,55,18.33,23,0,120,6,1,0,,43,22,,7,7,50,0,7,4,0,0,68,22.67,29,0,134,7,1,0,,50,22,,4,4,54,0,4,4,0,0,62,20.67,26,0,153,8,1,0,,54,33,,2,2,56,0,2,4,0,0,83,27.67,35,0,169,9,1,0,,56,36,,2,2,58,0,2,4,0,0,91,30.33,38,0,191,10,1,0,,,,,,,,0,0,4,0,0,,,,0,,11,1,0,,,,,,,,0,0,4,0,0,,,,0,,12,1,0,,,,,,,,0,0,4,0,0,,,,0,,13,1,0,,,,,,,,0,0,4,0,0,,,,0,,14,1,0,,,,,,,,0,0,4,0,0,,,,0,,15,7,24,diverse,uni,41117,yes,lorem ipsum,lorem ipsum,0,1,1
8,vh9yg09n,,1,80,80,Outro,Outro_Final,2021-03-08 20:13:25.588927+00:00,1,,,69,5.45,2etf5rjr,,,,,0,2.00,0.0,10,0.05,8,1,1,Chrome Canary,20,20,25,25,"['2', '3']","['2', '3']",0,1,1,2,0,6,20,9,12,4,4,24,0,24,4,0,0,29,9.67,13,0,60,1,2,0,,24,16,,2,2,26,0,2,4,0,0,42,14.0,18,0,70,2,2,0,,26,16,,3,3,29,0,3,4,0,0,44,14.67,19,0,82,3,2,0,,29,18,,2,2,31,0,2,4,0,0,48,16.0,20,0,95,4,2,0,,31,10,,8,8,39,0,8,4,0,0,41,13.67,18,0,107,5,2,0,,39,14,,9,9,48,0,9,4,0,0,55,18.33,23,0,120,6,2,0,,48,29,,0,0,48,0,0,4,0,0,68,22.67,29,0,134,7,2,0,,48,22,,4,4,52,0,4,4,0,0,62,20.67,26,0,153,8,2,0,,52,26,,9,9,61,0,9,4,0,0,83,27.67,35,0,169,9,2,0,,61,30,,8,8,69,0,8,4,0,0,91,30.33,38,0,191,10,2,0,,,,,,,,0,0,4,0,0,,,,0,,11,2,0,,,,,,,,0,0,4,0,0,,,,0,,12,2,0,,,,,,,,0,0,4,0,0,,,,0,,13,2,0,,,,,,,,0,0,4,0,0,,,,0,,14,2,0,,,,,,,,0,0,4,0,0,,,,0,,15,8,25,diverse,uni,26749,yes,lorem ipsum,lorem ipsum,0,1,1
9,dcgjv9mv,,1,80,80,Outro,Outro_Final,2021-03-08 20:13:25.613599+00:00,1,,,87,6.35,2etf5rjr,,,,,0,2.00,0.0,10,0.05,9,1,1,Chrome Canary,20,20,25,25,"['2', '3']","['2', '3']",0,1,1,3,0,,20,9,12,4,4,24,0,24,4,0,0,29,9.67,13,0,60,1,3,0,,24,14,,4,4,28,0,4,4,0,0,42,14.0,18,0,70,2,3,0,,28,14,,5,5,33,0,5,4,0,0,44,14.67,19,0,82,3,3,0,,33,19,,1,1,34,0,1,4,0,0,48,16.0,20,0,95,4,3,0,,34,15,,3,3,37,0,3,4,0,0,41,13.67,18,0,107,5,3,0,,37,17,,6,6,43,0,6,4,0,0,55,18.33,23,0,120,6,3,0,,43,17,,12,12,55,0,12,4,0,0,68,22.67,29,0,134,7,3,0,,55,18,,8,8,63,0,8,4,0,0,62,20.67,26,0,153,8,3,0,,63,24,,11,11,74,0,11,4,0,0,83,27.67,35,0,169,9,3,0,,74,25,,13,13,87,0,13,4,0,0,91,30.33,38,0,191,10,3,0,,,,,,,,0,0,4,0,0,,,,0,,11,3,0,,,,,,,,0,0,4,0,0,,,,0,,12,3,0,,,,,,,,0,0,4,0,0,,,,0,,13,3,0,,,,,,,,0,0,4,0,0,,,,0,,14,3,0,,,,,,,,0,0,4,0,0,,,,0,,15,9,25,diverse,uni,32856,yes,lorem ipsum,lorem ipsum,0,1,1
10,n2y9qyw6,,1,80,80,Outro,Outro_Final,2021-03-08 20:13:25.636526+00:00,1,,,67,5.35,2etf5rjr,,,,,0,2.00,0.0,10,0.05,10,1,1,Chrome Canary,20,20,25,25,"['2', '3']","['2', '3']",0,1,1,1,0,6,20,6,20,5,5,25,0,25,5,0,0,26,8.67,11,0,60,1,1,0,,25,9,,2,2,27,0,2,5,0,0,26,8.67,11,0,67,2,1,0,,27,11,,4,4,31,0,4,5,0,0,35,11.67,15,0,74,3,1,0,,31,15,,2,2,33,0,2,5,0,0,40,13.33,17,0,84,4,1,0,,33,14,,7,7,40,0,7,5,0,0,50,16.67,21,0,95,5,1,0,,40,23,,2,2,42,0,2,5,0,0,60,20.0,25,0,108,6,1,0,,42,20,,9,9,51,0,9,5,0,0,68,22.67,29,0,123,7,1,0,,51,30,,5,5,56,0,5,5,0,0,84,28.0,35,0,142,8,1,0,,56,37,,8,8,64,0,8,5,0,0,107,35.67,45,0,163,9,1,0,,64,42,,3,3,67,0,3,5,0,0,106,35.33,45,0,191,10,1,0,,,,,,,,0,0,5,0,0,,,,0,,11,1,0,,,,,,,,0,0,5,0,0,,,,0,,12,1,0,,,,,,,,0,0,5,0,0,,,,0,,13,1,0,,,,,,,,0,0,5,0,0,,,,0,,14,1,0,,,,,,,,0,0,5,0,0,,,,0,,15,10,20,diverse,uni,40400,yes,lorem ipsum,lorem ipsum,0,1,1
